periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Estimated Number of Pregnant Women,Population 10-14 Year-Old Girls,Women of childbearing age (15–49yrs),uid_code,uid_year,,,,
2014,2014,2014,,Kenya,Nyeri County,ptWVfaCIdVx,Nyeri County,KE_County_19,,18072,,177918,201401_ptWVfaCIdVx,2014_ptWVfaCIdVx,,,,
2014,2014,2014,,Kenya,Muranga County,ahwTMNAJvrL,Muranga County,KE_County_21,,21064,,225111,201401_ahwTMNAJvrL,2014_ahwTMNAJvrL,,,,
2014,2014,2014,,Kenya,Machakos County,yhCUgGcCcOo,Machakos County,KE_County_16,,50432,,290471,201401_yhCUgGcCcOo,2014_yhCUgGcCcOo,,,,
2014,2014,2014,,Kenya,Wajir County,CeLsrJOH0g9,Wajir County,KE_County_8,,29180,,141585,201401_CeLsrJOH0g9,2014_CeLsrJOH0g9,,,,
2014,2014,2014,,Kenya,Migori County,fVra3Pwta0Q,Migori County,KE_County_44,,47122,,251602,201401_fVra3Pwta0Q,2014_fVra3Pwta0Q,,,,
2014,2014,2014,,Kenya,Taita Taveta County,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,13963,,76923,201401_QyGNX2DpR4h,2014_QyGNX2DpR4h,,,,
2014,2014,2014,,Kenya,Narok County,kqJ83J2D72s,Narok County,KE_County_33,,41685,,234089,201401_kqJ83J2D72s,2014_kqJ83J2D72s,,,,
2014,2014,2014,,Kenya,Baringo County,vvOK1BxTbet,Baringo County,KE_County_30,,26103.46,,136788.46,201401_vvOK1BxTbet,2014_vvOK1BxTbet,,,,
2014,2014,2014,,Kenya,Meru County,Y52XNJ50hYb,Meru County,KE_County_12,,43360,,360955,201401_Y52XNJ50hYb,2014_Y52XNJ50hYb,,,,
2014,2014,2014,,Kenya,Kisumu County,tAbBVBbueqD,Kisumu County,KE_County_42,,41000,,258146,201401_tAbBVBbueqD,2014_tAbBVBbueqD,,,,
2014,2014,2014,,Kenya,Kericho County,ihZsJ8alvtb,Kericho County,KE_County_35,,42452.8,,212509.2,201401_ihZsJ8alvtb,2014_ihZsJ8alvtb,,,,
2014,2014,2014,,Kenya,Kirinyaga County,Ulj33KBau7V,Kirinyaga County,KE_County_20,,13103,,150445,201401_Ulj33KBau7V,2014_Ulj33KBau7V,,,,
2014,2014,2014,,Kenya,Samburu County,o36zCRjSd4G,Samburu County,KE_County_25,,11637,,55039,201401_o36zCRjSd4G,2014_o36zCRjSd4G,,,,
2015,2015,2015,,Kenya,Makueni County,BoDytkJQ4Qi,Makueni County,KE_County_17,,35981,,239224,201501_BoDytkJQ4Qi,2015_BoDytkJQ4Qi,,,,
