year_month,country,county,uid,uid_code,uidear,county_code,adolescent_10_24_receiving_fp_new,adolescent_10_24_receiving_fp_revisits,adults_25+_receiving_fp_services_new,adults_25+_receiving_fp_services_revisits,condoms_new,condoms_revisits,traditional_new,pills_new,pills_revisits,traditional_revisits,injectable_new,injectable_revisits,traditional,implants_new,implants_revisits,iucd_new,iucd_revisits,surgical_new,surgical_revisits,condoms,pills,injectables,implants,iucd,surgical,total_modern_fp,total_cyp,periodid,periodname,pills_combined_oral_contraceptive_stock_losses,pills_combined_oral_contraceptive_stock_dispensed,pills_combined_oral_contraceptive_stock_at_hand,pills_combined_oral_contraceptive_stock_requested,pills_combined_oral_contraceptive_stock_received,pills_emergency_pill_stock_losses,pills_emergency_pill_stock_dispensed,pills_emergency_pill_stock_at_hand,pills_emergency_pill_stock_requested,pills_emergency_pill_stock_received,pills_progestin_only_pills_stock_losses,pills_progestin_only_pills_stock_dispensed,pills_progestin_only_pills_stock_at_hand,pills_progestin_only_pills_stock_requested,pills_progestin_only_pills_stock_received,condoms_female_condom_stock_losses,condoms_female_condom_stock_dispensed,condoms_female_condom_stock_at_hand,condoms_female_condom_stock_requested,condoms_female_condom_stock_received,condoms_male_condom_stock_losses,condoms_male_condom_stock_dispensed,condoms_male_condom_stock_at_hand,condoms_male_condom_stock_requested,condoms_male_condom_stock_received,injectables_stock_losses,injectables_stock_dispensed,injectables_stock_at_hand,injectables_stock_requested,injectables_stock_received,implants_stock_losses,implants_stock_dispensed,implants_stock_at_hand,implants_stock_requested,implants_stock_received,iud_stock_losses,iud_stock_dispensed,iud_stock_at_hand,iud_stock_requested,iud_stock_received,eligible_fp,"core_health_workforce_per_10,000population",Demand_Satisfied_by_Modern_Methods (%),"mCPR (Married Women, %)","Teenage Pregnancy Rate (15-19, %)","Total Unmet Need (Married Women, %)"
202412,Kenya,Vihiga,sANMZ3lpqGs,202412_sANMZ3lpqGs,2024_sANMZ3lpqGs,KE_County_38,1375,1414,448,2482,271,78,375,338,424,100,521,2428,475,1002,439,48,17,0,0,349,762,2949,1441,65,0,5566,5768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192913.0,,,,,
202412,Kenya,Uasin Gishu,pZqQRRW7PHP,202412_pZqQRRW7PHP,2024_pZqQRRW7PHP,KE_County_27,1013,1872,1711,5581,250,257,1125,945,724,532,906,5529,1657,680,935,182,30,1,0,507,1669,6435,1615,212,1,10439,8200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410872.0,,,,,
202412,Kenya,Homa Bay,nK0A12Q7MvS,202412_nK0A12Q7MvS,2024_nK0A12Q7MvS,KE_County_43,7660,7204,2044,4773,332,179,2453,1450,2392,325,3553,8153,2778,5042,918,374,24,17,0,511,3842,11706,5960,398,17,22434,23777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371013.0,,,,,
202412,Kenya,Narok,kqJ83J2D72s,202412_kqJ83J2D72s,2024_kqJ83J2D72s,KE_County_33,1435,2128,965,3446,84,135,270,305,255,55,1655,4266,325,1072,627,29,6,0,0,219,560,5921,1699,35,0,8434,7223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360420.0,,,,,
202412,Kenya,Wajir,CeLsrJOH0g9,202412_CeLsrJOH0g9,2024_CeLsrJOH0g9,KE_County_8,25,86,267,14,647,175,326,187,133,1,228,248,327,69,18,3,0,0,0,822,320,476,87,3,0,1708,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222895.0,,,,,
202412,Kenya,Bungoma,KGHhQ5GLd4k,202412_KGHhQ5GLd4k,2024_KGHhQ5GLd4k,KE_County_39,2892,4981,2588,8330,447,995,1490,1211,1095,13,2522,10173,1503,2077,844,77,12,2,0,1442,2306,12695,2921,89,2,19455,13613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543915.0,,,,,
202412,Kenya,Kisii,sPkRcDvhGWA,202412_sPkRcDvhGWA,2024_sPkRcDvhGWA,KE_County_45,4494,4946,1226,4823,14517,1591,411,1063,1994,132,2923,7491,543,2906,638,148,43,8,0,16108,3057,10414,3544,191,8,33322,14997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412061.0,,,,,
202412,Kenya,Mandera,R6f9znhg37c,202412_R6f9znhg37c,2024_R6f9znhg37c,KE_County_9,84,44,75,63,437,46,258,185,103,6,137,108,264,154,37,1,0,0,0,483,288,245,191,1,0,1208,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266298.0,,,,,
202412,Kenya,Taita Taveta,QyGNX2DpR4h,202412_QyGNX2DpR4h,2024_QyGNX2DpR4h,KE_County_6,167,493,164,1860,78,47,83,75,108,0,228,2016,83,98,99,17,17,1,0,125,183,2244,197,34,1,2784,1448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106166.0,,,,,
202412,Kenya,Kakamega,BjC1xL40gHo,202412_BjC1xL40gHo,2024_BjC1xL40gHo,KE_County_37,2492,6289,1755,13163,494,753,1335,795,1851,5,1913,13762,1340,2095,1877,177,91,0,0,1247,2646,15675,3972,268,0,23808,18701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624346.0,,,,,
202412,Kenya,Machakos,yhCUgGcCcOo,202412_yhCUgGcCcOo,2024_yhCUgGcCcOo,KE_County_16,1313,3139,3421,5282,580,1019,359,1109,1766,180,1654,9750,539,883,712,92,30,2,0,1599,2875,11404,1595,122,2,17597,8829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472335.0,,,,,
202412,Kenya,Kisumu,tAbBVBbueqD,202412_tAbBVBbueqD,2024_tAbBVBbueqD,KE_County_42,6613,7460,1920,3786,1927,1184,5221,4799,2859,548,1753,6121,5769,3947,1064,135,26,17,0,3111,7658,7874,5011,161,17,23832,18432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389055.0,,,,,
202412,Kenya,Laikipia,xuFdFy6t9AH,202412_xuFdFy6t9AH,2024_xuFdFy6t9AH,KE_County_31,536,1028,477,2643,123,425,198,362,641,2,364,2233,200,535,218,51,24,2,0,548,1003,2597,753,75,2,4978,3466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163736.0,,,,,
